id,ref,subject,description,sprint_id,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,back-points,design-points,front-points,ux-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason
2495178,1,"As a supervisor, i want to create accounts",Done when supervisor roles can create accounts.,206253,Sprint 1,2018-10-23,2018-11-06,rossallen86,rossallen86,jaixiong,Jai,jaixiong,Jai,Ready,False,5.0,,,,5.0,32,30,2,2018-10-09 19:23:39.930289+00:00,2018-10-23 16:25:07.911130+00:00,,False,False,0,,,,supervisor,[],0,,
2495179,2,"As a supervisor, i want to be able to create courses",Done when supervisor roles can create courses.,206253,Sprint 1,2018-10-23,2018-11-06,rossallen86,rossallen86,,,,,New,False,3.0,,,,3.0,33,32,1539113171832,2018-10-09 19:26:11.865552+00:00,2018-10-23 16:25:29.130130+00:00,,False,False,0,,,,supervisor,[],0,,
2495192,3,"As an administrator, I want to be able to create a course",Done when: I'm able to create a new course,,,,,uttechgustave,uttechgustave,,,,,New,False,1.0,,,,1.0,3,3,1539113590638,2018-10-09 19:33:10.678443+00:00,2018-10-23 16:24:06.820682+00:00,,False,False,0,,,,administrator,[],0,,
2495194,4,"As a supervisor, i would like to be able to delete accounts",Done when supervisor roles can delete accounts.,206253,Sprint 1,2018-10-23,2018-11-06,rossallen86,rossallen86,,,,,New,False,2.0,,,,2.0,25,33,1539113619053,2018-10-09 19:33:39.092338+00:00,2018-10-23 16:25:39.871686+00:00,,False,False,0,,,,supervisor,[],0,,
2495195,5,"As an administrator, I want to be able to create an account",Done when: I'm able to create a new account,,,,,uttechgustave,uttechgustave,,,,,New,False,1.0,,,,1.0,1,1,1539113699993,2018-10-09 19:35:00.021327+00:00,2018-10-23 16:24:11.880190+00:00,,False,False,0,,,,administrator,[],0,,
2495196,6,"As an administrator, I want to be able to delete an account",Done when: I'm able to delete an account,,,,,uttechgustave,uttechgustave,,,,,New,False,1.0,,,,1.0,2,2,1539113714902,2018-10-09 19:35:14.939196+00:00,2018-10-23 16:24:18.712012+00:00,,False,False,0,,,,administrator,[],0,,
2495197,7,"As a supervisor, i would like to be able to edit accounts",Done when supervisor roles can edit accounts.,,,,,rossallen86,rossallen86,,,,,New,False,1.0,,,,1.0,12,12,1539113723864,2018-10-09 19:35:23.907339+00:00,2018-10-16 20:04:36.189287+00:00,,False,False,0,,,,supervisor,[],0,,
2495198,8,"As an administrator, I want to be able to edit an account",Done when: I'm able to make changes to an account,,,,,uttechgustave,uttechgustave,,,,,New,False,3.0,,,,3.0,16,16,1539113732252,2018-10-09 19:35:32.282492+00:00,2018-10-16 20:31:03.196144+00:00,,False,False,0,,,,administrator,[],0,,
2495200,9,As a TA I want to edit my own contact information so that I can update my information.,Done when: Information updated.,,,,,jaixiong,Jai,,,,,New,False,3.0,,,,3.0,14,14,1539113735516,2018-10-09 19:35:35.516919+00:00,2018-10-16 20:30:43.713385+00:00,,False,False,0,,,,ta,[],0,,
2495201,10,As a TA I want to view assignts so that I can view student assignments.,Done when: The assignment has been viewed.,,,,,jaixiong,Jai,,,,,New,False,1.0,,,,1.0,10,10,1539113735517,2018-10-09 19:35:35.517104+00:00,2018-10-16 20:30:23.596914+00:00,,False,False,0,,,,ta,[],0,,
